                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1623,                0.59281,                 1.0096,                0.94535,                0.96096,                0.97769,                0.65478,                 1.2032,                0.57452,                 1.0499,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1546,                0.58546,                0.98887,                0.97561,                0.95234,                0.98202,                0.66366,                 1.1817,                 0.5559,                 1.0468,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1906,                0.60342,                 1.0079,                0.98892,                0.96032,                0.98509,                 0.6642,                  1.179,                0.54424,                 1.0465,               0.001307,               0.001307,               0.001307
                     38,                  1.162,                0.58131,                  1.008,                 0.9684,                0.97292,                0.98528,                0.69288,                 1.1333,                0.53098,                 1.0222,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1383,                0.57325,                0.99834,                0.96823,                0.96753,                0.97959,                0.66239,                 1.1871,                0.55766,                 1.0571,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1321,                0.56439,                0.99219,                0.94608,                0.97487,                0.97981,                0.65334,                 1.1511,                0.53709,                 1.0435,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1377,                0.55123,                0.97719,                 0.9673,                0.93922,                0.98304,                0.64475,                  1.207,                0.57719,                 1.0616,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1791,                0.57067,                 1.0037,                0.93484,                0.96032,                0.97552,                0.67853,                 1.1272,                   0.58,                 1.0267,               0.001208,               0.001208,               0.001208
                     43,                 1.1316,                0.55747,                0.99205,                 0.9716,                0.95238,                0.98152,                0.68454,                 1.1394,                0.52562,                 1.0287,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1177,                0.53545,                0.98537,                0.96046,                0.96382,                 0.9801,                0.65187,                 1.2434,                0.56012,                 1.0548,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.1062,                0.54417,                0.96639,                0.96847,                0.97496,                0.98541,                0.69149,                 1.1655,                 0.5164,                 1.0259,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0629,                0.52633,                0.96586,                0.95897,                0.96825,                0.98489,                0.67866,                 1.1821,                0.51923,                  1.032,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.105,                0.55136,                0.97735,                0.97314,                0.94444,                0.98106,                0.65101,                 1.1986,                0.56035,                 1.0332,               0.001109,               0.001109,               0.001109
                     48,                 1.1177,                0.55225,                 0.9781,                0.96822,                0.96725,                 0.9808,                0.67804,                 1.1471,                0.53959,                 1.0178,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0923,                 0.5517,                0.96811,                0.96733,                0.96825,                 0.9794,                0.65688,                 1.2055,                0.54827,                 1.0597,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0985,                0.56352,                0.99366,                 0.9837,                0.95788,                0.98842,                0.67471,                 1.1685,                0.52724,                 1.0386,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1234,                0.57234,                 0.9887,                 0.9466,                0.96032,                0.98634,                0.66803,                 1.1585,                0.52587,                 1.0169,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0756,                 0.5266,                0.97426,                0.93877,                0.97352,                0.98581,                0.66487,                 1.1891,                0.51456,                 1.0302,                0.00101,                0.00101,                0.00101
